Marca,Modelo,Imagen,Consumo_en_modo_encendido_en_el_rango_dinámico_normal_SDR,Clase_de_eficiencia_energetica_en_el_modo_de_alto_rango_dinamico_HDR,Consumo_en_modo_encendido_para_el_alto_rango_dinámico_HDR,Tipo
 IIYAMA CORPORATION , GB2770HSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,8", -, -, Monitor
 IIYAMA CORPORATION , B1980D-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , B1980D-W5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , GB2470HSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,6", -, -, Monitor
 IIYAMA CORPORATION , XB2481HS-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,6", -, -, Monitor
 HKC , HV24F1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 40, -, -, Televisión
 SINUDYNE , SI32A2250SM ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 30, -, -, Televisión
 SINUDYNE , SI3222HV ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 29, -, -, Televisión
 LG Electronics Inc. , 65WN960H0LD ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 95, G, 213, Televisión
 BenQ , RM8603A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 344, -, -, Señalización
 Samsung , HG75Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 116, G, 201, Televisión
 iFFALCON , iFF55U62X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 59, G, 90, Televisión
 TELECO s.p.a , TEK15W9 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 9,9", -, -, Televisión
 Samsung , HG65Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 100, G, 164, Televisión
 Samsung , HG50Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 68, G, 102, Televisión
 Samsung , HG55Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 130, Televisión
 Samsung , GQ98QN100BT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 200, G, 608, Televisión
 Samsung , HG43Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 65, G, 101, Televisión
 Samsung , QE98QN100BT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 200, G, 608, Televisión
 Weichensi , SF15 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, 3, D, 7, Monitor
 Planar , PLN2400_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,4", -, -, Monitor
 Planar , PCT2265_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,6", -, -, Monitor
 Planar , PCT2435_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 18, -, -, Monitor
 acer , ASV15-1BP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 13, -, -, Monitor
 acer , ASV15-1B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 13, -, -, Monitor
 Planar , PXN2710Q_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, -, -, Monitor
 Planar , PZN2710Q_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, -, -, Monitor
 We. by Loewe , We. SEE 43 60512*91 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 54, G, 82, Televisión
 LOEWE. , bild c.43 60442*91 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 54, G, 82, Televisión
 BenQ , RM7503A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 223, -, -, Señalización
 KOORUI , 15B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png, 7, -, -, Monitor
" Shenzhen Cote Cheng Electronic Co.,Ltd ",  icote-010 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 7,5", -, -, Monitor
 IIYAMA CORPORATION , TF1015MC-B2 B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 6,7", -, -, Monitor
 AG Neovo , LA-2702 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,7", -, -, Monitor
 LG Electronics , 24ML60SP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,7", -, -, Monitor
 LG Electronics , 17MB15TP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 12,4", -, -, Monitor
 LG Electronics , 22MP410P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,3", -, -, Monitor
 LG Electronics , 24BP45YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,7", -, -, Monitor
 LG Electronics , 27MP60GP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 20,9", -, -, Monitor
 KOORUI , 24E3 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 18, -, -, Monitor
 LG Electronics , 24BP75CP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,6", -, -, Monitor
 LG Electronics , 27ML60SP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 21, -, -, Monitor
 LG Electronics , 24GN60TP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,9", G," 30,5", Monitor
 AG Neovo , LA-2202 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,6", -, -, Monitor
 AG Neovo , LH-2702 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,7", -, -, Monitor
 LG Electronics , 27BK55YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 19,7", -, -, Monitor
 LG Electronics , 27MP450P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 20,8", -, -, Monitor
 LG Electronics , 24MP450P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,8", -, -, Monitor
 IIYAMA CORPORATION , TF2215MC-B2 B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,6", -, -, Monitor
 Planar , PZN2410_ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,2", -, -, Monitor
 LG Electronics , 24BP45SP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 18, -, -, Monitor
 LG Electronics , 27MP400P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 20,8", -, -, Monitor
 SONY , SDM-F27M30 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", G," 31,1", Monitor
 acer , PM168QKT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 10, G, 18, Monitor
 LG Electronics , 24BN55YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,7", -, -, Monitor
 LG Electronics , 24MP400P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,6", -, -, Monitor
 KOORUI , 27N2A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 19, -, -, Monitor
 TCL , 65P735X2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 102, G, 125, Televisión
 LG Electronics , 32UN550P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, G, 52, Monitor
 LG Electronics , 27UN880P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 25,7", G," 43,7", Monitor
 LG Electronics , 27UL500P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 23,7", G," 37,8", Monitor
 TCL , 65P830X2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 102, G, 125, Televisión
 LG Electronics , 27GP850P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 23,5", G, 50, Monitor
 LG Electronics , 27UP600P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, G," 45,9", Monitor
 TCL , 65P731X2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 102, G, 125, Televisión
 LG Electronics , 27BN55UP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 23,7", G," 37,8", Monitor
 LG Electronics , 38WP85CP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 35,9", G," 46,5", Monitor
 LG Electronics , 27UL550P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 23,7", G," 37,8", Monitor
 LG Electronics , 24QP750P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 20,8", G," 22,5", Monitor
 LG Electronics , 27QP88DP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, G," 36,6", Monitor
 LG Electronics , 27BN65QP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 24,8", G," 36,7", Monitor
 acer , B278U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, G, 37, Monitor
 LG Electronics , 27QN880P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 24,6", G," 37,5", Monitor
 LG Electronics , 27UP550P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 24, G," 38,8", Monitor
 LG Electronics , 27BP45YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 21,1", -, -, Monitor
 LG Electronics , 27UP650P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 23,7", G," 45,9", Monitor
 TCL , 55CF630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 82, G, 166, Televisión
 TCL , 50CF630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 68, G, 116, Televisión
 LG Electronics , 34WN750P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 31,9", G," 48,7", Monitor
 LG Electronics , 38GN950P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 37,3", G, 106, Monitor
 LG Electronics , 49WL95CP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 45,3", G," 76,5", Monitor
 acer , CG48 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 63,9", G," 76,9", Monitor
 TCL , 55CF630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 82, G, 166, Televisión
 TCL , 50CF630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 68, G, 116, Televisión
 acer , XV272K LV ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 32,1", G, 64, Monitor
 LG Electronics , 32QN600P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 33, G," 40,5", Monitor
 LG Electronics , 34WN780P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 31,9", G," 48,7", Monitor
 Wacom , DTH271 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 41, G, 41, Otros
 LG Electronics Inc. , OLED65R19LJ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 111, G, 199, Televisión
 LG Electronics , 38WN95CP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 37,3", G, 106, Monitor
 LG Electronics , 32UN500P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 32,9", G, 52, Monitor
 LG Electronics , 34BN670P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 31,9", G," 36,1", Monitor
 LG Electronics , 32QP880P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 32,7", G," 42,9", Monitor
 Lipa , AX-60 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, 15, D, 16, Monitor
 Lipa , HDR-50 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, 15, D, 16, Monitor
 Lipa , HDR-60 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, 15, D, 16, Monitor
 Lipa , HDR-70 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, 15, D, 16, Monitor
 Lipa , AX-60T ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, 15, D, 16, Monitor
 UPERFECT , M156A08/M156J16/M156B05/M156B23/M156F26 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, 6, -, -, Monitor
 BenQ , PD3205UA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 30,3", G," 44,6", Monitor
 UNITED , UN32321S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, G, 45, Televisión
 BenQ , PD2705UA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 28,5", G," 38,2", Monitor
 TCL , 65RP630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png, 60, G, 120, Televisión
 TCL , 65RP631KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png, 60, G, 120, Televisión
 TCL , 65RP630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png, 60, G, 120, Televisión
 TCL , 55RP631KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 90, Televisión
 TCL , 55RP630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 90, Televisión
 TCL , 50RP630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 85, Televisión
 TCL , 50RP631KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 85, Televisión
 TCL , 55RP630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 90, Televisión
 TCL , 50RP630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 55, G, 85, Televisión
 NPG , S430L32 H ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 30, -, -, Televisión
 TCL , 43RP630KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, G, 70, Televisión
 Panasonic , TX-65LXX979 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 86, G, 195, Televisión
 TCL , 43RP630X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, G, 70, Televisión
 TCL , 43RP631KX1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, G, 70, Televisión
 SHARP , 1T-C32FG6EF2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 25, -, -, Televisión
 SHARP , 1T-C32EA2EF2NBS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 17, -, -, Televisión
 SHARP , 1T-C24EE2KF2UBM ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 17, -, -, Televisión
 SHARP , 4T-C43BJ2KF2FB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 26, -, -, Televisión
 SHARP , 2T-C42CG3IG2NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 25, -, -, Televisión
 SHARP , 1T-C32FA2EF2NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 26, -, -, Televisión
 SHARP , 4T-C65FN7EL2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 25, -, -, Televisión
 SHARP , 2T-C40FG6EL2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 48, -, -, Televisión
 NPG , S430L43F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 50, -, -, Televisión
 SHARP , 4T-C55FN1EL2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 31, -, -, Televisión
 SHARP , 2T-C40FG4EL2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 75, G, 120, Televisión
 SHARP , 4T-C50DL2KL2AB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 66, G, 90, Televisión
 SHARP , 4T-C43FK2EL2NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 66, G, 90, Televisión
 SHARP , 1T-C32BI2KE2AW ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 70, G, 95, Televisión
 SHARP , 1T-C32EE2IF2NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 65, G, 103, Televisión
 Soulaca INC , SS215U22-E015 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 21,5", -, -, Televisión
 Soulaca INC , HYM27E-TBLS11017 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 28,5", -, -, Televisión
 Soulaca INC , WLM32BLS90 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 35,5", -, -, Televisión
 Soulaca INC , HYM22E-0BLS90005 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 21,3", -, -, Televisión
 DELL , U2722DE WOST ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 20,4", -, -, Monitor
 iFFALCON , iFF50U62X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 58, G, 85, Televisión
 UNITED , UN40321S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, G, 75, Televisión
 FUJITSU , B2410 TS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png," 11,1", -, -, Monitor
 FUJITSU , B2410 TE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png," 11,1", -, -, Monitor
 Panasonic , TX-55LZC1505 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 83, G, 109, Televisión
 Panasonic , TX-55LZC1506 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 83, G, 109, Televisión
 Panasonic , TX-65LZW2004 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 112, G, 169, Televisión
 IIYAMA CORPORATION , XUB2294HS-B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,1", -, -, Monitor
 IIYAMA CORPORATION , XU2294HSU-B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,1", -, -, Monitor
 IIYAMA CORPORATION , XUB2294HSU-W2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,1", -, -, Monitor
 IIYAMA CORPORATION , XUB2294HSU-B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,1", -, -, Monitor
 IIYAMA CORPORATION , XU2294HS-B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 12,1", -, -, Monitor
 IIYAMA CORPORATION , T1721MSC-B2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 12,8", -, -, Monitor
 IIYAMA CORPORATION , XUB2792HSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XU2794HSU-B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,5", -, -, Monitor
 IIYAMA CORPORATION , XB2283HSU-B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,4", -, -, Monitor
 IIYAMA CORPORATION , XUB2792HSU-W5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XUB2792HSU-W5 A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XUB2495WSU-B6 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,7", -, -, Monitor
 IIYAMA CORPORATION , XU2792HSU-B1 G ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XUB2495WSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,8", -, -, Monitor
 IIYAMA CORPORATION , XUB2792HSU-B5 A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XU2792HSU-B1 F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,6", -, -, Monitor
 IIYAMA CORPORATION , XUB2794HSU-B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,5", -, -, Monitor
 IIYAMA CORPORATION , X2283HSU-B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,4", -, -, Monitor
 BenQ , EX480UZ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 59,1", E," 43,9", Monitor
 BenQ , EX480UZE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png," 59,1", E," 43,9", Monitor
 VIVAX , TV-32LE114T2S2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 31, -, -, Televisión
 BenQ , PD2506Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 31,8", G," 38,5", Monitor
 BenQ , PD2506QA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 31,8", G," 38,5", Monitor
 Panasonic , TX-55LZC2004 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 84, G, 132, Televisión
 LG Electronics , 27BN65YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 20,6", -, -, Monitor
 LG Electronics , 24BK55YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 16,9", -, -, Monitor
 LG Electronics , 24BN65YP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,8", -, -, Monitor
 TCL , 32S5203X2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 27, G, 42, Televisión
 TCL , 40S6201X2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 39, G, 62, Televisión
 Sylvox , OQ65A1CAGC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 93, -, -, Televisión
