Type,Title,eclrow,Content,eclrow2,Content3,eclrow5,Image
 ELÍZ , EURO 500 D1 ,Standing loss, 71,Storage volume, 441, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELÍZ , EURO 300 D1 ,Standing loss, 50,Storage volume, 249, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00673 I-WPV 150L 3G ,Standing loss, 26,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop , 03-00667 WPV 150L 3G ,Standing loss, 26,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop , 03-00668 WPV 200L 3G ,Standing loss, 37,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00669 WPV 240L 3G ,Standing loss, 42,Storage volume, 240, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00674 I-WPV 200L 3G ,Standing loss, 37,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00675 I-WPV 240L 3G ,Standing loss, 42,Storage volume, 240, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00670 WPV 270L 3G ,Standing loss, 50,Storage volume, 270, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00676 I-WPV 270L 3G ,Standing loss, 50,Storage volume, 270, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELÍZ , EURO 200 D1 ,Standing loss, 48,Storage volume, 182, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , BR-005 ,Standing loss, 30,Storage volume, 50, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Energia ON  , BR-01 ,Standing loss, 45,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Energia ON  , BR-025 ,Standing loss, 85,Storage volume, 245, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-02 ,Standing loss, 74,Storage volume, 170, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-025 ,Standing loss, 85,Storage volume, 245, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-05 ,Standing loss, 87,Storage volume, 454, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , BR-02 ,Standing loss, 55,Storage volume, 170, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZCC-025 ,Standing loss, 86,Storage volume, 245, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Energia ON  , BR-05 ,Standing loss, 93,Storage volume, 454, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELCO , VISTRON E 400.3 3726195 ,Standing loss, 71,Storage volume, 408, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Paradigma , 07-1010 ,Standing loss, 109,Storage volume, 480, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 300 H 3060878 ,Standing loss, 92,Storage volume, 298, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 400 H 3060879 ,Standing loss, 97,Storage volume, 403, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 500 H 3060880 ,Standing loss, 105,Storage volume, 473, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Rossato Group - Rossato , AR 25 ,Standing loss, 46,Storage volume, 25, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Rossato Group - Rossato , AR 50 ,Standing loss, 56,Storage volume, 47, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 GALANTA , FV12046TSL ,Standing loss, 49,Storage volume, 110, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV08046TST ,Standing loss, 45,Storage volume, 75, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV10046TSL ,Standing loss, 47,Storage volume, 91, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV08046TSL ,Standing loss, 44,Storage volume, 77, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV10046TST ,Standing loss, 48,Storage volume, 89, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV12046TSL ,Standing loss, 49,Storage volume, 110, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Ariston Thermo Spa , CD2 450 HHP 3060862 ,Standing loss, 79,Storage volume, 433, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Ariston Thermo Spa , CD1 450 HHP 3060706 ,Standing loss, 79,Storage volume, 435, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Ariston Thermo Spa , CD2 300 HHP 3060707 ,Standing loss, 67,Storage volume, 279, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Chappee , 100022954 + 7804536 - Ballon Wse 300N ,Standing loss, 92,Storage volume, 300, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , WGJ-B PSTW+ 400 ,Standing loss, 60,Storage volume, 386, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW DUO 400 ,Standing loss, 60,Storage volume, 377, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW DUO 220 ,Standing loss, 52,Storage volume, 204, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW DUO 250  ,Standing loss, 61,Storage volume, 234, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW+ 250  ,Standing loss, 61,Storage volume, 241, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW DUO 500 ,Standing loss, 67,Storage volume, 472, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW+ 220  ,Standing loss, 52,Storage volume, 211, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW+ 500 ,Standing loss, 67,Storage volume, 484, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW+ 300 ,Standing loss, 72,Storage volume, 288, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , WGJ-B PSTW DUO 300 ,Standing loss, 72,Storage volume, 280, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , WGJ-B PSTW 500 ,Standing loss, 67,Storage volume, 498, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW 220 ,Standing loss, 52,Storage volume, 222, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW 250 ,Standing loss, 61,Storage volume, 262, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW 400 ,Standing loss, 60,Storage volume, 433, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , WGJ-B PSTW 300 ,Standing loss, 72,Storage volume, 318, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ELCO , VISTRON SO_SP B 200-2 3726286 ,Standing loss, 43,Storage volume, 190, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELCO , VISTRON SO_SP B 400-2 3726287 ,Standing loss, 71,Storage volume, 377, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELCO , VISTRON SO_SP BS 400-2 3726293 ,Standing loss, 82,Storage volume, 479, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELCO , VISTRON SO_SP B 80-2 3726285 ,Standing loss, 43,Storage volume, 75, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , SOLEI MAX+ 300  ,Standing loss, 50,Storage volume, 249, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , SOLEI MAX+ 200  ,Standing loss, 48,Storage volume, 182, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , OEM 200 W1 ,Standing loss, 54,Storage volume, 207, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , OEM 300 W1 ,Standing loss, 67,Storage volume, 278, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , OEM 250 W1 ,Standing loss, 60,Storage volume, 229, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , BWE 50 ,Standing loss, 37,Storage volume, 50, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , BWEK 50  ,Standing loss, 40,Storage volume, 50, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , OEM 150 W1 ,Standing loss, 44,Storage volume, 144, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ZUG Elektromet  , BWE 100  ,Standing loss, 64,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , BWE 80  ,Standing loss, 48,Storage volume, 80, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , BWEK 100  ,Standing loss, 69,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ZUG Elektromet  , BWEK 80  ,Standing loss, 52,Storage volume, 80, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 80 H 3060863 ,Standing loss, 61,Storage volume, 79, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 100 H 3060864 ,Standing loss, 64,Storage volume, 93, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CKZ 200 H 3060865 ,Standing loss, 76,Storage volume, 197, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 GALANTA , FV12046TST  ,Standing loss, 50,Storage volume, 108, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , FV15060TST ,Standing loss, 53,Storage volume, 141, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , FV12046TST ,Standing loss, 50,Storage volume, 108, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Tiki , Buffer 200 ,Standing loss, 77,Storage volume, 195, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Tiki , Buffer 300 ,Standing loss, 87,Storage volume, 288, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Tiki , Space 100 ,Standing loss, 53,Storage volume, 91, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Tiki , Space 120 ,Standing loss, 57,Storage volume, 113, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Tiki , Space 150 ,Standing loss, 62,Storage volume, 142, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Tiki , Buffer 100 ,Standing loss, 68,Storage volume, 102, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ariston Thermo Spa , CD1 300 HHP 3060705 ,Standing loss, 68,Storage volume, 280, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Ariston Thermo Spa , CD1 200 HHP 3060704 ,Standing loss, 54,Storage volume, 190, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Thermia , MBH Legend 200 204596 ,Standing loss, 59,Storage volume, 172, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Thermia , MBH Legend 300 204597 ,Standing loss, 92,Storage volume, 280, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Rossato , PDC 200 ,Standing loss, 57,Storage volume, 190, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 STIEBEL ELTRON , STD 420-1 Plus ,Standing loss, 75,Storage volume, 434, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 STIEBEL ELTRON , STD 315-1 Plus ,Standing loss, 70,Storage volume, 326, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 STIEBEL ELTRON , STD 520-1 Plus ,Standing loss, 81,Storage volume, 542, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 CTC , CTC AT 2.300 ,Standing loss, 84,Storage volume, 293, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CTC , CTC AT 1.500/50 ,Standing loss, 101,Storage volume, 478, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CTC , CTC AT 1.500/25 ,Standing loss, 101,Storage volume, 478, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CTC , CTC AT 1.300/25 ,Standing loss, 84,Storage volume, 293, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CTC , CTC AT 2.500 ,Standing loss, 101,Storage volume, 478, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , EV 2x17 1000 101 HP DN18 ,Standing loss, 143,Storage volume, 937, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , PT HC 100 ,Standing loss, 39,Storage volume, 107, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 HAJDU , PT HC 200 ,Standing loss, 65,Storage volume, 202, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE100S ErP Sztea ,Standing loss, 53,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE200S ErP Sztea ,Standing loss, 79,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE150S ErP Sztea ,Standing loss, 75,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IND100S ErP Sztea ,Standing loss, 53,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE100F Erp Sztea ,Standing loss, 68,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE75F ErP Sztea ,Standing loss, 42,Storage volume, 75, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IND200S ErP Sztea ,Standing loss, 79,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE200F ErP Sztea ,Standing loss, 83,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IND150S ErP Sztea ,Standing loss, 75,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , IDE150F ErP Sztea ,Standing loss, 70,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 METRO THERM , 2251 ,Standing loss, 30,Storage volume, 94, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 METRO THERM , 2252 ,Standing loss, 30,Storage volume, 94, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 METRO THERM , 2252 122522121 ,Standing loss, 30,Storage volume, 94, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Ferroli , ECOGEO 500 H 1P B ,Standing loss, 112,Storage volume, 470, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-1 P 300-1 B ,Standing loss, 85,Storage volume, 263, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-2 SP 500-2 B ,Standing loss, 112,Storage volume, 455, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 METRO THERM , 2262 122622122 ,Standing loss, 70,Storage volume, 191, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-1 P 500-1 B ,Standing loss, 112,Storage volume, 470, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-2 PC 500-2 B ,Standing loss, 112,Storage volume, 455, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 500 H 2SP B ,Standing loss, 112,Storage volume, 455, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 METRO THERM , 2262 ,Standing loss, 70,Storage volume, 191, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 300 H 1P B ,Standing loss, 85,Storage volume, 263, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-1 P 200-1 B ,Standing loss, 67,Storage volume, 190, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 300 H 2PC B ,Standing loss, 85,Storage volume, 260, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-2 SP 300-2 B ,Standing loss, 85,Storage volume, 260, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 500 H 2PC B ,Standing loss, 112,Storage volume, 455, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 METRO THERM , 2262 122622112 ,Standing loss, 70,Storage volume, 191, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 200 H 1P B ,Standing loss, 67,Storage volume, 190, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Lamborghini Caloreclima , iXwater H-2 PC 300-2 B ,Standing loss, 85,Storage volume, 260, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ferroli , ECOGEO 300 H 2SP B ,Standing loss, 85,Storage volume, 260, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Buderus , 8735100984 ,Standing loss, 125,Storage volume, 680, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Bosch , 8735100977 ,Standing loss, 125,Storage volume, 680, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Max Weishaupt GmbH , WAS 155 Bloc-P / A ,Standing loss, 56,Storage volume, 159, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 OEG Pufferspeicher 300 Liter Reverse+ , 516005772 ,Standing loss, 36,Storage volume, 298, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 500 Liter Reverse+ , 516005786 ,Standing loss, 43,Storage volume, 516, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 500 Liter Reverse+ , 516005788 ,Standing loss, 43,Storage volume, 516, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 725 Liter Reverse+ , 516005792 ,Standing loss, 48,Storage volume, 724, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 725 Liter Reverse+ , 516005794 ,Standing loss, 48,Storage volume, 724, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 400 Liter Reverse+ , 516005778 ,Standing loss, 40,Storage volume, 419, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 400 Liter Reverse+ , 516005780 ,Standing loss, 40,Storage volume, 419, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 400 Liter Reverse+ , 516005782 ,Standing loss, 40,Storage volume, 419, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 200 Liter Reverse+ , 516005764 ,Standing loss, 31,Storage volume, 206, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 300 Liter Reverse+ , 516005770 ,Standing loss, 36,Storage volume, 298, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 300 Liter Reverse+ , 516005774 ,Standing loss, 36,Storage volume, 298, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 400 Liter Reverse+ , 516005776 ,Standing loss, 40,Storage volume, 419, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 725 Liter Reverse+ , 516005796 ,Standing loss, 48,Storage volume, 724, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 200 Liter Reverse+ , 516005760 ,Standing loss, 31,Storage volume, 206, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 200 Liter Reverse+ , 516005762 ,Standing loss, 31,Storage volume, 206, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 200 Liter Reverse+ , 516005766 ,Standing loss, 31,Storage volume, 206, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 300 Liter Reverse+ , 516005768 ,Standing loss, 36,Storage volume, 298, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 500 Liter Reverse+ , 516005784 ,Standing loss, 43,Storage volume, 516, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 500 Liter Reverse+ , 516005790 ,Standing loss, 43,Storage volume, 516, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 OEG Pufferspeicher 725 Liter Reverse+ , 516005798 ,Standing loss, 48,Storage volume, 724, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 ELCO , VISTRON H 400.4D 3725981 ,Standing loss, 73,Storage volume, 400, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELCO , VISTRON H 300.4D 3725980 ,Standing loss, 64,Storage volume, 300, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELCO , VISTRON H 500.4D 3725993 ,Standing loss, 79,Storage volume, 500, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , WV10046S21L ,Standing loss, 47,Storage volume, 89, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , WV15046S21R ,Standing loss, 54,Storage volume, 140, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , WV12046S21L ,Standing loss, 51,Storage volume, 111, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , FV50080S21 ,Standing loss, 76,Storage volume, 465, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , BCE 150K60 ,Standing loss, 45,Storage volume, 147, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , BCE 120R ,Standing loss, 68,Storage volume, 116, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 GALANTA , WV15046S21L ,Standing loss, 54,Storage volume, 140, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
